tourney_id,tourney_name,tourney_spectators,year
2016-W-C10-SVK-02A-2016/10/slovenska lupca $10k,Slovenska Lupca $10K,3444,2016
2016-W-C10-ARG-03A-2016/10/villa maria $10k,Villa Maria $10K,3443,2016
2016-W-C10-FRA-06A-2016/10/gonesse $10k,Gonesse $10K,3442,2016
2016-W-C10-ESP-04A-2016/10/la bisbal $10k,La Bisbal $10K,3441,2016
2016-W-C25-USA-19A-2016/25/stillwater ok $25k,Stillwater OK $25K,3441,2016
2016-6809/C/meerbusch ch,Meerbusch CH,3439,2016
2016-5067/C/savannah ch,Savannah CH,3434,2016
2016-1082/I/prague,Prague,3433,2016
2016-W-C25-FRA-01A-2016/25/grenoble $25k,Grenoble $25K,3430,2016
2016-W-C10-TUR-15A-2016/10/antalya $10k,Antalya $10K,3430,2016
2016-W-C25-POL-01A-2016/25/torun $25k,Torun $25K,3430,2016
2016-W-C10-RUS-02A-2016/10/kazan $10k,Kazan $10K,3430,2016
2016-W-C10-FIN-01A-2016/10/tampere $10k,Tampere $10K,3429,2016
2016-W-C10-KOR-04A-2016/10/gimcheon $10k,Gimcheon $10K,3427,2016
2016-W-C25-HUN-03A-2016/25/bukfurdo $25k,Bukfurdo $25K,3424,2016
2016-6244/C/le gosier ch,Le Gosier CH,3419,2016
2016-W-C10-TUR-38B-2016/10/antalya $10k,Antalya $10K,3417,2016
2016-W-C10-ITA-04A-2016/10/santa margherita di pula $10k,Santa Margherita Di Pula $10K,3414,2016
2016-W-C10-SLO-03A-2016/10/maribor $10k,Maribor $10K,3411,2016
2016-W-C25-HUN-01A-2016/25/gyor $25k,Gyor $25K,3409,2016
2016-W-C10-EGY-28A-2016/10/sharm el sheikh $10k,Sharm El Sheikh $10K,3407,2016
2016-W-C10-TUN-22A-2016/10/hammamet $10k,Hammamet $10K,3400,2016
2016-W-C10-GBR-03A-2016/10/wirral $10k,Wirral $10K,3397,2016
2016-W-C25-BEL-01A-2016/25/koksijde $25k,Koksijde $25K,3395,2016
2016-W-C10-FRA-02A-2016/10/petit bourg guadeloupe $10k,Petit Bourg Guadeloupe $10K,3395,2016
2016-W-C50-TUR-03A-2016/50/ankara $50k,Ankara $50K,3395,2016
2016-W-C10-SUI-02A-2016/10/sion $10k,Sion $10K,3395,2016
2016-W-C10-ESP-10A-2016/10/don benito badajoz $10k,Don Benito Badajoz $10K,3392,2016
2016-W-C25-CHN-05A-2016/25/chenzhou $25k,Chenzhou $25K,3391,2016
2016-W-C10-MDA-02A-2016/10/chisinau $10k,Chisinau $10K,3388,2016
2016-W-C10-GBR-07A-2016/10/shrewsbury $10k,Shrewsbury $10K,3388,2016
2016-W-C25-USA-04A-2016/25/surprise az $25k,Surprise AZ $25K,3387,2016
2016-7395/C/buenos aires ch,Buenos Aires CH,3383,2016
2016-W-C10-TUR-02A-2016/10/antalya $10k,Antalya $10K,3378,2016
2016-W-C10-COL-04A-2016/10/cucuta $10k,Cucuta $10K,3377,2016
2016-7011/C/gimcheon ch,Gimcheon CH,3375,2016
2016-W-C10-SWE-01A-2016/10/bastad $10k,Bastad $10K,3374,2016
2016-0213/C/san luis potosi ch,San Luis Potosi CH,3372,2016
2016-W-C10-ARG-08A-2016/10/buenos aires $10k,Buenos Aires $10K,3368,2016
2016-W-C10-COL-03A-2016/10/pereira $10k,Pereira $10K,3366,2016
2016-W-C10-ITA-11A-2016/10/aprilia $10k,Aprilia $10K,3363,2016
2016-3628/C/trnava ch,Trnava CH,3363,2016
2016-W-C10-KOR-02A-2016/10/sangju $10k,Sangju $10K,3358,2016
2016-1797/C/ostrava ch,Ostrava CH,3358,2016
2016-1539/C/leon ch,Leon CH,3357,2016
2016-W-C25-MEX-01A-2016/25/cuernavaca $25k,Cuernavaca $25K,3357,2016
2016-1076/I/tianjin,Tianjin,3357,2016
2016-0221/C/tampere ch,Tampere CH,3355,2016
2016-W-C10-BUL-02A-2016/10/sozopol $10k,Sozopol $10K,3351,2016
2016-7015/C/vicenza ch,Vicenza CH,3348,2016
2016-7586/C/canberra ch,Canberra CH,3347,2016
